learningActivityTitle,Number of Trainees Completed above mentioned course,learnerCom
BI Data Model Partitions,5,12/22/2020
BI Reporting & Analysis,3,12/22/2020
BI Reporting Strategies,3,12/22/2020
"Integration, Features, & Installation",3,12/22/2020
Planning & Configuration,3,12/22/2020
Availability & Configuration,3,12/22/2020
Recovery & Backup,3,12/22/2020
Planning BI Infrastructure,2,12/22/2020
BI Project Deployment,2,12/22/2020
MDX Performance,2,12/22/2020
Organize Your Physical and Digital Workspace,1,12/23/2020
MDX Queries,1,12/23/2020
Business Writing | Coursera,1,12/27/2020
Rhetoric: The Art of Persuasive Writing and Public Speaking | edX,1,12/27/2020
Storytelling and influencing: Communicate with impact | Coursera,1,12/27/2020
Nonverbal Communication Skills: Definition and Examples | Indeed Career Guide,1,12/27/2020
Common Communication Barriers (With Examples) | Indeed Career Center,1,12/27/2020
The Secret to Business Writing: Crash Course Business - Soft Skills #3 | CrashCourse,1,12/27/2020
Public Speaking | edX,1,12/27/2020
10 Tips for Giving a Great Presentation | Indeed Career Guide,1,12/27/2020
Storytelling in the Workplace | edX,1,12/27/2020
How to speak so that people want to listen | Julian Treasure | TED Talk,1,12/27/2020
Web Programmer to Apprentice Programmer,1,12/27/2020
HTML & CSS: Creating Forms,2,12/27/2020
Building Great Forms with HTML and CSS,2,12/27/2020
HTML and CSS,2,12/27/2020
Learn Java,1,12/27/2020
Learning Web Audio and Video with HTML and CSS,2,12/27/2020
CSS: make an horizontal menu on codepen.io,1,12/27/2020
HTML: Tables,1,12/27/2020
Introducing a framework for strategy | The Open University,1,12/27/2020
Big Data In 5 Minutes | What Is Big Data? | Introduction To Big Data | Big Data Explained | Simplilearn,1,12/27/2020
Cloud Computing Tutorial for Beginners | Cloud Computing Explained | Cloud Computing | Simplilearn,1,12/27/2020
Framing Opportunities for Effective Data-driven Decision Making,10,12/28/2020
Data Preprocessing,11,12/28/2020
Deep Learning | IBM Cloud Education,2,12/28/2020
Elements of AI | Finnish Government,1,12/28/2020
What Is Artificial Intelligence? | CrashCourse AI #1,2,12/28/2020
Artificial Intelligence In 5 Minutes | What Is Artificial Intelligence? | AI Explained | Simplilearn,1,12/28/2020
Cloud Computing In 6 Minutes | What Is Cloud Computing? | Cloud Computing Explained | Simplilearn,2,12/28/2020
How To Become An Artificial Intelligence Engineer | AI Engineer Career Path And Skills | Simplilearn,1,12/28/2020
Definition and Essential Characteristics of Cloud Computing | Cognitive Class,1,12/28/2020
"Data Mining, Data Distributions, & Hypothesis Testing",1,12/28/2020
